"DateLong","Venue","Year","ShortDate"
"January 21, 1971","Freeborn Hall, U. of California Davis, CA",1971,"1971-01-21"
"January 22, 1971","Lane Community College, Eugene, OR",1971,"1971-01-22"
"January 24, 1971","Seattle Center Arena, Seattle, WA",1971,"1971-01-24"
"February 18, 1971","Capitol Theater, Port Chester, NY",1971,"1971-02-18"
"February 19, 1971","Capitol Theater, Port Chester, NY",1971,"1971-02-19"
"February 20, 1971","Capitol Theater, Port Chester, NY",1971,"1971-02-20"
"February 21, 1971","Capitol Theater, Port Chester, NY",1971,"1971-02-21"
"February 23, 1971","Capitol Theater, Port Chester, NY",1971,"1971-02-23"
"February 24, 1971","Capitol Theater, Port Chester, NY",1971,"1971-02-24"
"March 3, 1971","Fillmore West, San Francisco, CA",1971,"1971-03-03"
"March 14, 1971","Camp Randall Field House, U. of Wisconsin, Madison, WI",1971,"1971-03-14"
"March 18, 1971","Fox Theatre, St. Louis, MO",1971,"1971-03-18"
"March 20, 1971","Fieldhouse, U. Of Iowa Iowa City, IA",1971,"1971-03-20"
"March 21, 1971","Exposition Center, Milwaukee, WI",1971,"1971-03-21"
"March 24, 1971","Winterland Arena, San Francisco, CA",1971,"1971-03-24"
"April 4, 1971","Manhattan Center, New York, NY",1971,"1971-04-04"
"April 5, 1971","Manhattan Center, New York, NY",1971,"1971-04-05"
"April 6, 1971","Manhattan Center, New York, NY",1971,"1971-04-06"
"April 7, 1971","Boston Music Hall, Boston, MA",1971,"1971-04-07"
"April 8, 1971","Boston Music Hall, Boston, MA",1971,"1971-04-08"
"April 10, 1971","East Hall Franklin & Marshall Col., Lancaster, PA",1971,"1971-04-10"
"April 12, 1971","Civic Arena, Pittsburgh, PA",1971,"1971-04-12"
"April 13, 1971","Catholic Youth Center, Scranton, PA",1971,"1971-04-13"
"April 14, 1971","Mathewson Stadium, Bucknell U. Lewisburg, PA",1971,"1971-04-14"
"April 15, 1971","Allegheny State College, Meadvllle, PA",1971,"1971-04-15"
"April 17, 1971","Dillon Gym, Princeton U. Princeton, NJ",1971,"1971-04-17"
"April 18, 1971","Lusk Field House, S.U.C.N.Y Cortland, NY",1971,"1971-04-18"
"April 21, 1971","Rhode Island Auditorium, Providence, RI",1971,"1971-04-21"
"April 22, 1971","Bangor Municipal Auditorium, Bangor, ME",1971,"1971-04-22"
"April 24, 1971","Wallace Wade Stadium, Duke U. Durham, NC",1971,"1971-04-24"
"April 25, 1971","Fillmore East, New York, NY",1971,"1971-04-25"
"April 26, 1971","Fillmore East, New York, NY",1971,"1971-04-26"
"April 27, 1971","Fillmore East, New York, NY",1971,"1971-04-27"
"April 28, 1971","Fillmore East, New York, NY",1971,"1971-04-28"
"April 29, 1971","Fillmore East, New York, NY",1971,"1971-04-29"
"May 29, 1971","Winterland Arena, San Francisco, CA",1971,"1971-05-29"
"May 30, 1971","Winterland Arena, San Francisco, CA",1971,"1971-05-30"
"June 21, 1971","Chateau d'HerouvilIe, Herouville, France",1971,"1971-06-21"
"July 2, 1971","Fillmore West, San Francisco, CA",1971,"1971-07-02"
"July 31, 1971","Yale Bowl, Yale U. New Haven, CT",1971,"1971-07-31"
"August 4, 1971","Terminal Island Correctional Fac., San Pedro, CA",1971,"1971-08-04"
"August 5, 1971","Hollywood Palladium, Hollywood, CA",1971,"1971-08-05"
"August 6, 1971","Hollywood Palladium, Hollywood, CA",1971,"1971-08-06"
"August 14, 1971","Berkeley Community Theater, Berkeley, CA",1971,"1971-08-14"
"August 15, 1971","Berkeley Community Theater, Berkeley, CA",1971,"1971-08-15"
"August 21, 1971","Mickey's Barn, Novato, CA",1971,"1971-08-21"
"August 23, 1971","Auditorium Theatre, Chicago, IL",1971,"1971-08-23"
"August 26, 1971","Gaelic Park, Bronx, NY",1971,"1971-08-26"
"October 19, 1971","Northrop Auditorium, U. of Minnesota, Minneapolis, MN",1971,"1971-10-19"
"October 21, 1971","Auditorium Theatre, Chicago, IL",1971,"1971-10-21"
"October 22, 1971","Auditorium Theatre, Chicago, IL",1971,"1971-10-22"
"October 23, 1971","Easttown Theatre, Detroit, MI",1971,"1971-10-23"
"October 24, 1971","Easttown Theatre, Detroit, MI",1971,"1971-10-24"
"October 26, 1971","The Palestra, U. of Rochester Rochester, NY",1971,"1971-10-26"
"October 27, 1971","Onondaga County War Memorial, Syracuse, NY",1971,"1971-10-27"
"October 29, 1971","Allan Theater, Cleveland, OH",1971,"1971-10-29"
"October 30, 1971","Taft Auditorium, Cincinnati, OH",1971,"1971-10-30"
"October 31, 1971","Ohio Theatre, Columbus, OH",1971,"1971-10-31"
"November 6, 1971","Harding Theater, San Francisco, CA",1971,"1971-11-06"
"November 7, 1971","Harding Theater, San Francisco, CA",1971,"1971-11-07"
"November 11, 1971","Atlanta Municipal Auditorium, Atlanta, GA",1971,"1971-11-11"
"November 12, 1971","San Antonio Civic Auditorium, San Antonio, TX",1971,"1971-11-12"
"November 14, 1971","Texas Christian U., Fort Worth, TX",1971,"1971-11-14"
"November 15, 1971","Austin Municipal Auditorium, Austin, TX",1971,"1971-11-15"
"November 17, 1971","Albuquerque Civic Auditorium, Albuquerque, NM",1971,"1971-11-17"
"November 20, 1971","Pauley Pavilion, UCLA Los Angeles, CA",1971,"1971-11-20"
"December 1, 1971","Boston Music Hall, Boston, MA",1971,"1971-12-01"
"December 2, 1971","Boston Music Hall, Boston, MA",1971,"1971-12-02"
"December 4, 1971","Felt Forum, New York, NY",1971,"1971-12-04"
"December 5, 1971","Felt Forum, New York, NY",1971,"1971-12-05"
"December 6, 1971","Felt Forum, New York, NY",1971,"1971-12-06"
"December 7, 1971","Felt Forum, New York, NY",1971,"1971-12-07"
"December 9, 1971","Fox Theatre, St. Louis, MO",1971,"1971-12-09"
"December 10, 1971","Fox Theatre, St. Louis, MO",1971,"1971-12-10"
"December 14, 1971","Hill Auditorium, Ann Arbor, MI",1971,"1971-12-14"
"December 15, 1971","Hill Auditorium, Ann Arbor, MI",1971,"1971-12-15"
"December 31, 1971","Winterland Arena, San Francisco, CA",1971,"1971-12-31"
