DateLong,Venue,Year,ShortDate
"February 5, 1989","Henry J. Kaiser Convention Center, Oakland, CA",1989,1989-02-05
"February 6, 1989","Henry J. Kaiser Convention Center, Oakland, CA",1989,1989-02-06
"February 7, 1989","Henry J. Kaiser Convention Center, Oakland, CA",1989,1989-02-07
"February 10, 1989","Great Western LA Forum, Inglewood, CA",1989,1989-02-10
"February 11, 1989","Great Western LA Forum, Inglewood, CA",1989,1989-02-11
"February 12, 1989","Great Western LA Forum, Inglewood, CA",1989,1989-02-12
"March 27, 1989","The Omni, Atlanta, GA",1989,1989-03-27
"March 28, 1989","The Omni, Atlanta, GA",1989,1989-03-28
"March 30, 1989","Greensboro Coliseum, Greensboro, NC",1989,1989-03-30
"March 31, 1989","Greensboro Coliseum, Greensboro, NC",1989,1989-03-31
"April 2, 1989","Civic Arena, Pittsburgh, PA",1989,1989-04-02
"April 3, 1989","Civic Arena, Pittsburgh, PA",1989,1989-04-03
"April 5, 1989","Crisler Arena, Ann Arbor, MI",1989,1989-04-05
"April 6, 1989","Crisler Arena, Ann Arbor, MI",1989,1989-04-06
"April 8, 1989","Riverfront Arena, Cincinnati, OH",1989,1989-04-08
"April 9, 1989","Freedom Hall, Louisville, KY",1989,1989-04-09
"April 11, 1989","Rosemont Horizon, Rosemont, IL",1989,1989-04-11
"April 12, 1989","Rosemont Horizon, Rosemont, IL",1989,1989-04-12
"April 13, 1989","Rosemont Horizon, Rosemont, IL",1989,1989-04-13
"April 15, 1989","The MECCA, Milwaukee, WI",1989,1989-04-15
"April 16, 1989","The MECCA, Milwaukee, WI",1989,1989-04-16
"April 17, 1989","Metropolitan Sports Center, Bloomington, MN",1989,1989-04-17
"April 28, 1989","Irvine Meadows, Irvine, CA",1989,1989-04-28
"April 29, 1989","Irvine Meadows, Irvine, CA",1989,1989-04-29
"April 30, 1989","Irvine Meadows, Irvine, CA",1989,1989-04-30
"May 6, 1989","Frost Amphitheatre, Palo Alto, CA",1989,1989-05-06
"May 7, 1989","Frost Amphitheatre, Palo Alto, CA",1989,1989-05-07
"May 27, 1989","Oakland-Alameda County Stadium, Oakland, CA",1989,1989-05-27
"June 18, 1989","Shoreline Amphitheatre, Mountain View, CA",1989,1989-06-18
"June 19, 1989","Shoreline Amphitheatre, Mountain View, CA",1989,1989-06-19
"June 21, 1989","Shoreline Amphitheatre, Mountain View, CA",1989,1989-06-21
"July 2, 1989","Sullivan Stadium, Foxboro, MA",1989,1989-07-02
"July 4, 1989","Rich Stadium, Buffalo, NY",1989,1989-07-04
"July 7, 1989","John F Kennedy Stadium, Philadelphia, PA",1989,1989-07-07
"July 9, 1989","Giants Stadium, East Rutherford, NJ",1989,1989-07-09
"July 10, 1989","Giants Stadium, East Rutherford, NJ",1989,1989-07-10
"July 12, 1989","RFK Stadium, Washington, DC",1989,1989-07-12
"July 13, 1989","RFK Stadium, Washington, DC",1989,1989-07-13
"July 15, 1989","Deer Creek Music Center, Noblesville, IN",1989,1989-07-15
"July 17, 1989","Alpine Valley Music Theatre, East Troy, WI",1989,1989-07-17
"July 18, 1989","Alpine Valley Music Theatre, East Troy, WI",1989,1989-07-18
"July 19, 1989","Alpine Valley Music Theatre, East Troy, WI",1989,1989-07-19
"August 4, 1989","Cal Expo, Sacramento, CA",1989,1989-08-04
"August 5, 1989","Cal Expo, Sacramento, CA",1989,1989-08-05
"August 6, 1989","Cal Expo, Sacramento, CA",1989,1989-08-06
"August 17, 1989","Greek Theatre, Berkeley, CA",1989,1989-08-17
"August 18, 1989","Greek Theatre, Berkeley, CA",1989,1989-08-18
"August 19, 1989","Greek Theatre, Berkeley, CA",1989,1989-08-19
"August 20, 1989","Uptown Theater, Chicago, IL",1989,1989-08-20
"September 9, 1989","The Spectrum, Philadelphia, PA",1989,1989-09-09
"September 27, 1989","Warfield Theater, San Francisco, CA",1989,1989-09-27
"September 29, 1989","Shoreline Amphitheatre, Mountain View, CA",1989,1989-09-29
"September 30, 1989","Shoreline Amphitheatre, Mountain View, CA",1989,1989-09-30
